## to be used for replicating the Pb isotope clustering only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,208Pb_207Pb_mean,208Pb_207Pb_2SE,206Pb_207Pb_mean,206Pb_207Pb_2SE
GM00_example,2.48811,0.00218281,1.2312,0.00151878
GM00_example,2.46826,0.000783467,1.20185,0.000470506
GM00_example,2.46569,0.00127452,1.20276,0.00168378
GM00_example,2.46464,0.000263214,1.1991,0.000160521
GM00_example,2.46293,0.000301197,1.1977,0.000146717
GM00_example,2.46774,0.000459967,1.20695,0.000492542
GM00_example,2.46385,0.000336211,1.19709,0.000209274
GM00_example,2.46164,0.000741376,1.1958,0.00073748
GM00_example,2.46361,0.000639461,1.19756,0.000253338
GM00_example,2.46543,0.000412822,1.2039,0.000198471
GM00_example,2.46445,0.000455825,1.19943,0.000275433
GM00_example,2.46642,0.000575994,1.19757,0.000560654
GM00_example,2.46419,0.000406224,1.19708,0.000188315
GM00_example,2.45083,0.00197193,1.20414,0.00315735
GM00_example,2.46474,0.000351075,1.19968,0.000245969
GM00_example,2.46102,0.00433482,1.19553,0.00292071
GM00_example,2.46536,0.000331729,1.19928,0.000229305
GM00_example,2.46833,0.000645866,1.19875,0.000520706
GM00_example,2.46467,0.000319555,1.19924,0.000210106
GM00_example,2.45461,0.000766428,1.19634,0.000476318
GM00_example,2.46467,0.000439954,1.19981,0.000282741
GM00_example,2.463,0.00123889,1.19744,0.00129419
GM00_example,2.47062,0.000762977,1.20357,0.000419284
GM00_example,2.51732,0.00434673,1.21787,0.00144786
GM00_example,2.46348,0.000461697,1.19726,0.00028593
GM00_example,2.47726,0.000734976,1.20325,0.000731068
GM00_example,2.46306,0.000565615,1.19506,0.000223756
GM00_example,2.46096,0.000379946,1.1946,0.000249495
GM00_example,2.45632,0.00031021,1.18824,0.000178901
GM00_example,2.46295,0.000182091,1.19111,0.000127221
GM00_example,2.47386,0.00185819,1.21953,0.00370936
GM00_example,2.45847,0.000211407,1.18873,0.000123751
GM00_example,2.47079,0.00472024,1.19559,0.00280061
GM00_example,2.46588,0.000258613,1.19703,0.000158683
GM00_example,2.46536,0.000339883,1.19772,0.000194635
GM00_example,2.45549,0.000454104,1.20017,0.00026956
GM00_example,2.46421,0.000180937,1.19316,0.000103757
GM00_example,2.46244,0.000422367,1.1946,0.000205498
GM00_example,2.44792,0.000840741,1.19911,0.000446698
GM00_example,2.45266,0.00027445,1.19075,0.000124854
GM00_example,2.46422,0.000522455,1.19671,0.000372958
GM00_example,2.46451,0.000224086,1.19353,0.00013623
GM00_example,2.46312,0.000502025,1.19492,0.000457644
GM00_example,2.45596,0.000312456,1.18952,0.000173507
GM00_example,2.49112,0.00201176,1.20561,0.00125878
GM00_example,2.46319,0.000510623,1.19711,0.000278171
GM00_example,2.45727,0.000315857,1.1963,0.000198178
GM00_example,2.46576,0.000417606,1.19718,0.0002446
GM00_example,2.46278,0.000270754,1.19438,0.000150214
GM00_example,2.46041,0.00088582,1.19527,0.000528512
GM00_example,2.46656,0.000170625,1.19456,8.54E-05
GM00_example,2.46391,0.000553475,1.19572,0.000364991
GM00_example,2.46048,0.000383853,1.19277,0.0002068
GM00_example,2.46286,0.00101177,1.19969,0.000954033
GM00_example,2.48323,0.000821927,1.21597,0.000743893
GM00_example,2.4701,0.00223386,1.19902,0.00130335
GM00_example,2.45837,0.00387293,1.19143,0.00240187
GM00_example,2.46586,0.000205026,1.19617,0.00013405
GM00_example,2.47051,0.00213995,1.19958,0.00149868
GM00_example,2.46427,0.000313223,1.19948,0.000310615
GM00_example,2.45741,0.000424166,1.19323,0.000255702
GM00_example,2.46011,0.000313081,1.19786,0.000227638
GM00_example,2.59119,0.00685299,1.30086,0.00547545
GM00_example,2.46089,0.000388607,1.1981,0.000289899
GM00_example,2.46673,0.00171165,1.19754,0.00094813
GM00_example,2.45815,0.000652702,1.19667,0.000445413
GM00_example,2.45931,0.000612114,1.19431,0.000337769
GM00_example,2.46012,0.000566129,1.19097,0.000365811
GM00_example,2.48116,0.00620547,1.20893,0.00419963
GM00_example,2.45807,0.000245525,1.1949,0.000163263
GM00_example,2.46423,0.000872211,1.19786,0.000941928
GM00_example,2.46081,0.000250277,1.19388,0.000132729
GM00_example,2.46569,0.000287345,1.19935,0.000181164
GM00_example,2.45337,0.000670197,1.19121,0.000443377
GM00_example,2.46548,0.00029232,1.19862,0.000191442
GM00_example,2.45818,0.000379095,1.19556,0.000219743
GM00_example,2.46651,0.000633101,1.19887,0.000385258
GM00_example,2.46468,0.000373619,1.19863,0.000257495
